spindle speed (rpm),feed (mm/rev),doc (mm),length (mm),time (s),image (.jpg),Ra,Rz,Vib(Hz),cutting speed mm/min,Vb
700,0.1,0.5,20,17.14285714,,1.446,4.089,,70,
700,0.1,0.5,40,34.28571429,,2.051,5.801,,70,
700,0.1,0.5,60,51.42857143,,2.598,7.349,,70,
700,0.1,0.5,80,68.57142857,,3.087,8.73,,70,
700,0.1,0.5,100,85.71428571,,2.273,6.713,,70,
700,0.1,0.5,120,102.8571429,,2.989,8.454,,70,
700,0.1,0.5,140,120,,2.168,6.133,,70,
700,0.1,0.5,160,137.1428571,,2.637,7.46,,70,
700,0.1,0.5,180,154.2857143,,2.413,6.824,,70,
700,0.1,0.5,200,171.4285714,,1.748,4.945,,70,
700,0.1,0.5,220,188.5714286,,1.709,4.834,,70,
700,0.1,0.5,240,205.7142857,,1.416,4.006,,70,
700,0.1,0.5,260,222.8571429,,1.524,4.309,,70,
700,0.1,0.5,280,240,,2.207,6.243,,70,
700,0.1,0.5,300,257.1428571,,1.846,5.221,,70,
700,0.1,0.5,320,274.2857143,,1.514,4.282,,70,
700,0.1,0.5,340,291.4285714,,1.826,5.166,,70,
700,0.1,0.5,360,308.5714286,,1.797,5.803,,70,
700,0.1,0.5,380,325.7142857,,1.573,4.447,,70,
700,0.1,0.5,400,342.8571429,,1.651,4.669,,70,
1000,0.1,0.5,20,12,,1.651,4.669,,100,
1000,0.1,0.5,40,24,,1.797,5.083,,100,
1000,0.1,0.5,60,36,,1.709,4.834,,100,
1000,0.1,0.5,80,48,,2.872,8.122,,100,
1000,0.1,0.5,100,60,,2.471,6.989,,100,
1000,0.1,0.5,120,72,,1.856,5.249,,100,
1000,0.1,0.5,140,84,,2.09,5.911,,100,
1000,0.1,0.5,160,96,,2.598,7.349,,100,
1000,0.1,0.5,180,108,,1.524,4.309,,100,
1000,0.1,0.5,200,120,,1.68,4.751,,100,
1000,0.1,0.5,220,132,,1.87,3.356,,100,
1000,0.1,0.5,240,144,,1.494,4.226,,100,
1000,0.1,0.5,260,156,,1.612,4.558,,100,
1000,0.1,0.5,280,168,,1.739,4.917,,100,
1000,0.1,0.5,300,180,,1.934,5.469,,100,
1000,0.1,0.5,320,192,,1.787,5.055,,100,
1000,0.1,0.5,340,204,,1.667,4.53,,100,
1000,0.1,0.5,360,216,,1.26,3.564,,100,
1000,0.1,0.5,380,228,,1.533,4.337,,100,
1000,0.1,0.5,400,240,,1.612,4.558,,100,
1300,0.1,0.5,20,9.230769231,,1.133,3.204,,130,
1300,0.1,0.5,40,18.46153846,,0.776,2.196,,130,
1300,0.1,0.5,60,27.69230769,,0.83,2.348,,130,
1300,0.1,0.5,80,36.92307692,,0.825,2.334,,130,
1300,0.1,0.5,100,46.15384615,,0.786,2.223,,130,
